,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
421,431,642,1015,The Twilight Saga: Breaking Dawn - Part 2,2012,4070,USA,Adventure,Rated,115,2012-11-16,Bill Condon,"['Kristen Stewart', ' Robert Pattinson', ' Taylor Lautner']",English,5.5,292324737.0,10187347362.0,2824412451.0,38
422,432,643,1016,The Twilight Saga: Eclipse,2010,4468,USA,Adventure,Rated,124,2010-06-30,David Slade,"['Xavier Samuel', ' Kristen Stewart', ' Robert Pattinson']",English,4.9,300531751.0,10639535233.0,2818706120.0,29
423,433,644,1017,The Twilight Saga: New Moon,2009,4124,USA,Adventure,Rated,130,2009-11-20,Chris Weitz,"['Kristen Stewart', ' Christina Jastrzembska', ' Robert Pattinson']",English,4.6,296623634.0,9750709587.0,2689254029.0,29
424,434,650,1029,Twisted: A Balloonamentary,2007,2,USA,Documentary,Rated,79,2008-05-23,Naomi Greenfield,"['Sheree Brown-Rosner', ' Don Caldwell', ' Laura Dakin']",English,7.9,4218.0,9767268194.0,70723219.0,23
425,435,653,1035,"Two Days, One Night",2014,120,Belgium,Drama,Rated,95,2014-12-24,Jean-Pierre Dardenne,"['Marion Cotillard', ' Fabrizio Rongione', ' Catherine Salée']",French,7.4,1436243.0,10893180888.0,1338281892.0,26
426,436,655,1038,The Two Escobars,2010,1,Colombia,Documentary,Rated,104,2010-08-27,Jeff Zimbalist,"['María Ester Escobar', ' Alexis García V.', ' Jaime Gaviria Gómez']",Spanish,8.2,14457.0,10639535233.0,187290939.0,26
427,437,656,1040,The Two Faces of January,2014,59,UK,Romance,Rated,96,2014-09-26,Hossein Amini,"['Oscar Isaac', ' Viggo Mortensen', ' Kirsten Dunst']",English,6.2,507463.0,10893180888.0,,46
428,438,659,1046,Two in the Wave,2010,1,France,Documentary,Rated,91,2010-05-19,Emmanuel Laurent,"['Isild Le Besco', ' Anouk Aimée', ' Jean-Pierre Aumont']",French,6.7,28808.0,10639535233.0,187290939.0,29
429,439,660,1048,Two Lives,2012,1,Germany,Drama,Rated,97,2014-02-28,Georg Maas,"['Juliane Köhler', ' Liv Ullmann', ' Sven Nordin']",German,7.1,22620.0,10893180888.0,1338281892.0,29
430,440,661,1049,Two Lovers,2008,148,USA,Drama,Rated,110,2009-02-13,James Gray,"['Joaquin Phoenix', ' Anne Joyce', ' Elliot Villar']",English,7.1,3149034.0,9750709587.0,1089198448.0,18
431,441,663,1054,Two Night Stand,2014,5,USA,Comedy,Rated,86,2014-09-26,Max Nichols,"['Analeigh Tipton', ' Miles Teller', ' Jessica Szohr']",English,6.4,18612.0,10893180888.0,1619719448.0,46
432,442,666,1060,Two-Bit Waltz,2014,3,USA,Comedy,Rated,81,2014-10-24,Clara Mamet,"['Clara Mamet', ' William H. Macy', ' Jared Gilman']",English,4.8,2540.0,10893180888.0,1619719448.0,56
433,443,667,1062,Jig,2011,5,UK,Documentary,Rated,99,2011-06-17,Sue Bourne,"['Joe Bitter', ' John Carey', ' Suzanne Coyle']",English,6.7,183790.0,10589599184.0,93825307.0,30
434,444,668,1063,Jigsaw,2017,2941,USA,Crime,Rated,91,2017-10-27,Michael Spierig,"['Matt Passmore', ' Tobin Bell', ' Callum Keith Rennie']",English,6.3,32084093.0,11216236720.0,,47
435,445,669,1065,A Jihad for Love,2007,5,UK,Documentary,Unrated,81,2008-05-21,Parvez Sharma,"['Muhsin Hendricks', ' A.K. Hoosen', ' Mazen']",Arabic,6.6,105651.0,9767268194.0,70723219.0,23
436,446,670,1066,Jimi: All Is by My Side,2013,75,Ireland,Biography,Rated,118,2014-09-26,John Ridley,"['André Benjamin', ' Hayley Atwell', ' Imogen Poots']",English,5.6,340911.0,10893180888.0,,46
437,447,671,1067,Jimmy Carter Man from Plains,2007,21,USA,Documentary,Rated,125,2007-10-26,Jonathan Demme,"['Lillian Carter', ' Jimmy Carter', ' Rosalynn Carter']",English,7.0,108807.0,9190502983.0,102279769.0,31
438,448,673,1070,Jimmy P.,2013,8,USA,Biography,Unrated,117,2014-02-14,Arnaud Desplechin,"['Benicio Del Toro', ' Michelle Thrush', ' Gary Farmer']",English,6.1,30283.0,10893180888.0,,29
439,449,675,1072,Jimmy Vestvood: Amerikan Hero,2016,6,USA,Comedy,Rated,84,2016-05-13,Jonathan Kesselman,"['Maz Jobrani', ' John Heard', ' Sheila Vand']",English,5.3,230069.0,11149116327.0,1321791183.0,32
440,450,676,1073,Jimmy's Hall,2014,47,UK,Biography,Rated,109,2015-07-03,Ken Loach,"['Barry Ward', ' Francis Magee', ' Aileen Henry']",English,6.7,560592.0,10354970864.0,,35
441,451,678,1077,Jinn,2014,201,USA,Thriller,Rated,97,2014-04-04,Ajmal Zaheer Ahmad,"['Dominic Rains', ' Ray Park', ' William Atherton']",English,4.2,202348.0,10893180888.0,,33
442,452,679,1078,Jinxed,2013,877,USA,Comedy,Rated,75,1982-10-22,Stephen Herek,"['Ciara Bravo', ' Jacob Bertrand', ' Elena Kampouris']",English,6.8,2869638.0,,,1
443,453,680,1079,Jiro Dreams of Sushi,2011,80,USA,Documentary,Rated,81,2012-03-09,David Gelb,"['Jiro Ono', ' Yoshikazu Ono', ' Masuhiro Yamamoto']",Japanese,7.9,2552478.0,10187347362.0,82817592.0,49
444,454,681,1081,Joan Rivers: A Piece of Work,2010,115,USA,Documentary,Rated,84,2010-06-11,Ricki Stern,"['Joan Rivers', ' Jocelyn Pickett', ' Bill Sammeth']",English,7.4,2930687.0,10639535233.0,187290939.0,29
445,455,682,1082,Jobs,2013,2381,USA,Biography,Rated,128,2013-08-16,Joshua Michael Stern,"['Ashton Kutcher', ' Dermot Mulroney', ' Josh Gad']",English,5.9,16131410.0,11041914748.0,,44
446,456,683,1084,Jodhaa Akbar,2008,125,India,Action,Rated,213,2008-02-15,Ashutosh Gowariker,"['Hrithik Roshan', ' Aishwarya Rai Bachchan', ' Sonu Sood']",Hindi,7.6,3440718.0,9767268194.0,1481747614.0,31
447,457,684,1085,Jodi Breakers,2012,45,India,Comedy,Unrated,127,2012-02-24,Ashwini Chaudhary,"['Bipasha Basu', ' Helen', ' Pradeep Kharab']",Hindi,3.5,52618.0,10187347362.0,1490816438.0,29
448,458,686,1087,Jodorowsky's Dune,2013,61,France,Documentary,Rated,90,2014-03-21,Frank Pavich,"['Alejandro Jodorowsky', ' Amanda Lear', ' Brontis Jodorowsky']",English,8.1,647280.0,10893180888.0,49307450.0,47
449,459,687,1088,Joe,2013,0,USA,Drama,Rated,117,1970-07-15,David Gordon Green,"['Nicolas Cage', ' Tye Sheridan', ' Gary Poulter']",English,6.9,19319254.0,,,1
450,460,691,1093,Joe Strummer: The Future Is Unwritten,2007,17,Ireland,Documentary,Unrated,124,2007-11-02,Julien Temple,"['Brigitte Bardot', ' Bono', ' Steve Buscemi']",English,7.7,248362.0,9190502983.0,102279769.0,27
451,461,693,1099,John Carter,2012,3749,USA,Action,Rated,132,2012-03-09,Andrew Stanton,"['Taylor Kitsch', ' Lynn Collins', ' Samantha Morton']",English,6.6,73078100.0,10187347362.0,2117507233.0,49
452,462,694,1100,John Dies at the End,2012,19,USA,Comedy,Rated,99,2013-01-25,Don Coscarelli,"['Chase Williamson', ' Rob Mayes', ' Paul Giamatti']",English,6.4,141951.0,11041914748.0,1050654625.0,13
453,463,696,1102,City of War: The Story of John Rabe,2009,6,France,Biography,Rated,134,2010-05-21,Florian Gallenberger,"['Ulrich Tukur', ' Daniel Brühl', ' Steve Buscemi']",Cantonese,7.2,67519.0,10639535233.0,,29
454,464,698,1104,John Wick,2014,2589,USA,Action,Rated,101,2014-10-24,Chad Stahelski,"['Keanu Reeves', ' Michael Nyqvist', ' Alfie Allen']",English,7.3,43037835.0,10893180888.0,2225063194.0,56
455,465,700,1110,Johnny English Reborn,2011,1554,USA,Action,Rated,101,2011-10-21,Oliver Parker,"['Roger Barclay', ' Eric Carte', ' Rowan Atkinson']",English,6.3,8305970.0,10589599184.0,1491832495.0,38
456,466,702,1117,Joker,2012,74,India,Comedy,Unrated,104,2012-08-31,Shirish Kunder,"['Akshay Kumar', ' Sonakshi Sinha', ' Shreyas Talpade']",Hindi,2.6,169181.0,10187347362.0,1490816438.0,46
457,468,704,1119,Jolly LLB 2,2017,173,India,Comedy,Rated,137,2017-02-10,Subhash Kapoor,"['Akshay Kumar', ' Huma Qureshi', ' Saurabh Shukla']",Hindi,7.3,1654254.0,11216236720.0,1302997778.0,30
458,469,705,1120,Jonah Hex,2010,2825,USA,Action,Rated,81,2010-06-18,Jimmy Hayward,"['Josh Brolin', ' John Malkovich', ' Megan Fox']",English,4.7,10547117.0,10639535233.0,2041030428.0,29
459,470,707,1122,Jonas Brothers: The 3D Concert Experience,2009,1276,USA,Documentary,Rated,76,2009-02-27,Bruce Hendricks,"['Kevin Jonas', ' Joe Jonas', ' Nick Jonas']",English,2.1,19162740.0,9750709587.0,87432868.0,18
460,471,708,1123,The Joneses,2009,217,USA,Drama,Rated,96,2010-04-16,Derrick Borte,"['David Duchovny', ' Demi Moore', ' Amber Heard']",English,6.5,1475746.0,10639535233.0,1834327761.0,30
461,472,711,1128,Joshua,2007,152,USA,Drama,Rated,106,2007-07-06,George Ratliff,"['Sam Rockwell', ' Vera Farmiga', ' Celia Weston']",English,5.9,482355.0,9190502983.0,1566075796.0,11
462,473,714,1134,Journey 2: The Mysterious Island,2012,3500,USA,Action,Rated,94,2012-02-10,Brad Peyton,"['Dwayne Johnson', ' Michael Caine', ' Josh Hutcherson']",English,5.8,103860290.0,10187347362.0,2117507233.0,29
463,474,716,1140,Journey to the Center of the Earth,2008,2830,USA,Action,Rated,93,2008-07-11,Eric Brevig,"['Brendan Fraser', ' Josh Hutcherson', ' Anita Briem']",English,5.8,101704370.0,9767268194.0,1481747614.0,24
464,475,718,1142,Journey to the South Pacific,2013,19,USA,Documentary,Rated,40,2013-11-27,Stephen Judson,"['Ferdiel Ballamu', ' Cate Blanchett', ' Menas Mambasar']",English,6.7,7609703.0,11041914748.0,131885122.0,42
465,476,719,1143,Journey to the West,2013,7,China,Action,Rated,110,2014-03-07,Stephen Chow,"['Qi Shu', ' Zhang Wen', ' Bo Huang']",Mandarin,6.8,18058.0,10893180888.0,2225063194.0,47
466,477,720,1144,Journey to the West: The Demons Strike Back,2017,67,China,Adventure,Rated,109,2017-02-03,Hark Tsui,"['Kris Wu', ' Kenny Lin', ' Chen Yao']",Mandarin,5.5,880346.0,11216236720.0,4686116125.0,30
467,478,722,1146,Joy,2015,2924,USA,Biography,Rated,124,2015-12-25,David O. Russell,"['Jennifer Lawrence', ' Robert De Niro', ' Bradley Cooper']",English,6.6,56451232.0,10354970864.0,,34
468,479,724,1150,Joyful Noise,2012,2735,USA,Comedy,Rated,118,2012-01-13,Todd Graff,"['Queen Latifah', ' Dolly Parton', ' Keke Palmer']",English,5.7,30932113.0,10187347362.0,1490816438.0,30
469,480,725,1154,#Horror,2015,0,USA,Drama,Unrated,101,2015-11-20,Tara Subkoff,"['Emma Adler', ' Jessica Blank', ' Ted Christensen']",English,3.1,0.0,10354970864.0,1679582816.0,38
470,481,726,1155,$9.99,2008,4,Australia,Animation,Rated,78,2008-12-12,Tatia Rosenthal,"['Geoffrey Rush', ' Anthony LaPaglia', ' Samuel Johnson']",English,6.8,52384.0,9767268194.0,,28
471,482,727,1156,Not a Love Story: Making (500) Days of Summer,2009,1048,USA,Documentary,Unrated,30,2009-07-17,Charles de Lauzirika,"['Zooey Deschanel', ' Joseph Gordon-Levitt', ' Scott Neustadter']",English,7.9,32391374.0,9750709587.0,87432868.0,26
472,483,728,1157,(Untitled),2009,25,USA,Comedy,Rated,96,2009-10-23,Jonathan Parker,"['Adam Goldberg', ' Marley Shelton', ' Eion Bailey']",English,6.4,230600.0,9750709587.0,2099450726.0,37
473,484,729,1159,1+1=11,2012,18,Japan,Comedy,Rated,0,2003-03-28,Hitoshi Yazaki,"['Zuimaro Awashima', ' Yôko Kita', ' Yumika Kiya']",Japanese,,132498.0,,,1
474,485,730,1160,"1,000 Times Good Night",2013,24,Norway,Drama,Unrated,117,2014-10-24,Erik Poppe,"['Juliette Binoche', ' Nikolaj Coster-Waldau', ' Lauryn Canny']",Norwegian,7.1,53895.0,10893180888.0,1338281892.0,56
475,486,731,1162,10 Cloverfield Lane,2016,3427,USA,Drama,Rated,104,2016-03-11,Dan Trachtenberg,"['John Goodman', ' Mary Elizabeth Winstead', ' John Gallagher Jr.']",English,7.2,72082998.0,11149116327.0,2060252692.0,42
476,487,732,1163,10 Days in a Madhouse,2015,10,USA,Drama,Rated,111,2015-11-11,Timothy Hines,"['Caroline Barry', ' Christopher Lambert', ' Kelly LeBrock']",English,7.1,14616.0,10354970864.0,1679582816.0,38
477,488,735,1166,10 Rules for Sleeping Around,2013,0,USA,Comedy,Rated,94,2014-04-04,Leslie Greif,"['Tammin Sursok', ' Virginia Williams', ' Chris Marquette']",English,3.7,0.0,10893180888.0,1619719448.0,33
478,489,736,1169,10 Years,2011,63,USA,Comedy,Rated,100,2012-09-14,Jamie Linden,"['Channing Tatum', ' Jenna Dewan Tatum', ' Justin Long']",English,6.1,203373.0,10187347362.0,1490816438.0,43
479,490,737,1171,100 Bloody Acres,2012,13,Australia,Comedy,Unrated,91,2013-06-28,Cameron Cairnes,"['Damon Herriman', ' Angus Sampson', ' Anna McGahan']",English,6.0,6388.0,11041914748.0,1050654625.0,41
480,491,738,1172,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,76,Sweden,Adventure,Rated,114,2015-05-01,Felix Herngren,"['Robert Gustafsson', ' Mia Skäringer', ' Iwar Wiklander']",Swedish,7.1,944193.0,10354970864.0,3199663674.0,45
481,492,739,1173,1001 Grams,2014,1,Norway,Drama,Rated,93,2015-05-08,Bent Hamer,"['Ane Dahl Torp', ' Laurent Stocker', ' Hildegun Riise']",Norwegian,6.3,10983.0,10354970864.0,1679582816.0,45
482,493,743,1178,11 Flowers,2011,2,China,Drama,Unrated,110,2013-02-22,Xiaoshuai Wang,"['Jingchun Wang', ' Wenqing Liu', ' Guo Liuxing Zhong']",Mandarin,7.1,9213.0,11041914748.0,1670662348.0,24
483,494,744,1179,11-11-11,2011,17,USA,Horror,Rated,90,2011-11-11,Darren Lynn Bousman,"['Timothy Gibbs', ' Michael Landes', ' Wendy Glenn']",English,4.0,32771.0,10589599184.0,531211616.0,28
484,495,745,1180,11/8/16,2017,0,USA,Documentary,Rated,104,2017-11-03,Duane Andersen,['nan'],English,6.3,0.0,11216236720.0,50850748.0,21
485,496,746,1181,The 11th Hour,2007,111,USA,Documentary,Rated,95,2007-08-17,Leila Conners,"['Leonardo DiCaprio', ' Kenny Ausubel', ' Thom Hartmann']",English,7.3,707343.0,9190502983.0,102279769.0,26
486,497,748,1183,12,2007,20,Russia,Crime,Rated,159,2009-03-04,Nikita Mikhalkov,"['Sergey Makovetskiy', ' Nikita Mikhalkov', ' Sergey Garmash']",Russian,7.8,125120.0,9750709587.0,,27
487,498,749,1186,12 O'Clock Boys,2013,21,USA,Documentary,Rated,76,2014-01-31,Lotfy Nathan,"['Coco', ' Pug', ' Steven']",English,6.4,82614.0,10893180888.0,49307450.0,32
488,499,750,1187,12 Rounds,2009,2331,USA,Action,Rated,108,2009-03-27,Renny Harlin,"['John Cena', ' Aidan Gillen', ' Ashley Scott']",English,5.6,12234694.0,9750709587.0,1961967999.0,27
489,500,751,1189,12 Years a Slave,2013,1474,USA,Biography,Rated,134,2013-10-18,Steve McQueen,"['Chiwetel Ejiofor', ' Dwight Henry', ' Dickie Gravois']",English,8.1,56671993.0,11041914748.0,,34
490,501,752,1190,12-12-12,2013,2,USA,Documentary,Rated,105,2013-11-15,Amir Bar-Lev,"['Jon Bon Jovi', ' Eric Clapton', ' Roger Daltrey']",English,5.0,0.0,11041914748.0,131885122.0,42
491,502,753,1191,127 Hours,2010,916,USA,Adventure,Rated,94,2010-11-05,Danny Boyle,"['James Franco', ' Kate Mara', ' Amber Tamblyn']",English,7.6,18335230.0,10639535233.0,2818706120.0,26
492,503,755,1193,13 Assassins,2010,31,Japan,Action,Rated,141,2011-04-29,Takashi Miike,"['Kôji Yakusho', ' Takayuki Yamada', ' Yûsuke Iseya']",Japanese,7.6,802778.0,10589599184.0,1491832495.0,40
493,504,757,1195,13 Minutes,2015,19,Germany,Biography,Rated,114,2017-06-30,Oliver Hirschbiegel,"['Christian Friedel', ' Katharina Schüttler', ' Burghart Klaußner']",German,7.0,161531.0,11216236720.0,,46
494,505,758,1196,13 Months of Sunshine,2007,1,USA,Drama,Rated,98,2008-06-06,Yehdego Abeselom,"['Sammy Amare', ' Tsion Fikreselassie', ' Salem Dawit']",Amharic,8.2,2337.0,9767268194.0,1293680617.0,29
495,506,759,1197,13 Sins,2014,45,USA,Horror,Rated,93,2014-04-18,Daniel Stamm,"['Mark Webber', ' Devon Graye', ' Tom Bower']",English,6.3,13809.0,10893180888.0,448523012.0,33
496,507,761,1199,13B: Fear Has a New Address,2009,10,India,Drama,Unrated,146,2009-03-06,Vikram K. Kumar,"['Madhavan', ' Neetu Chandra', ' Poonam Dhillon']",Hindi,7.0,124490.0,9750709587.0,1089198448.0,27
497,508,762,1200,The 13th Alley,2008,72,USA,Horror,Rated,0,2008-06-13,Bobb Hopkins,"['Robert Carradine', ' Randy Wayne', ' Bobb Hopkins']",English,6.3,250992.0,9767268194.0,693523435.0,29
498,509,763,1202,14 Blades,2010,4,Hong Kong,Action,Rated,114,2014-08-22,Daniel Lee,"['Donnie Yen', ' Wei Zhao', ' Chun Wu']",Mandarin,6.4,0.0,10893180888.0,2225063194.0,38
499,510,764,1203,1408,2007,2733,USA,Horror,Rated,104,2007-06-22,Mikael Håfström,"['John Cusack', ' Paul Birchard', ' Margot Leicester']",English,6.8,71985628.0,9190502983.0,553237666.0,15
500,511,769,1211,17 Again,2009,3255,USA,Comedy,Rated,102,2009-04-17,Burr Steers,"['Zac Efron', ' Leslie Mann', ' Thomas Lennon']",English,6.4,64167069.0,9750709587.0,2099450726.0,32
501,512,770,1212,17 Girls,2011,10,France,Drama,Unrated,86,2012-09-21,Delphine Coulin,"['Louise Grinberg', ' Juliette Darche', ' Roxane Duran']",French,6.0,15123.0,10187347362.0,1490190858.0,43
502,513,772,1215,180° South,2010,4,USA,Documentary,Rated,85,2010-05-21,Chris Malloy,"['Yvon Chouinard', ' Doug Tompkins', ' Keith Malloy']",English,7.7,31745.0,10639535233.0,187290939.0,29
503,514,773,1216,187,2016,1121,USA,Short,Rated,0,1997-07-30,Hecht Amar,"['Hecht Amar', ' Mattia Bianchi']",English,,5727130.0,,,1
504,515,774,1218,1911,2011,33,China,Action,Rated,121,2011-10-07,Li Zhang,"['Jackie Chan', ' Winston Chao', ' Bingbing Li']",Mandarin,6.0,135739.0,10589599184.0,1491832495.0,38
505,516,775,1219,1915,2015,10,USA,Drama,Rated,82,2015-04-17,Garin Hovannisian,"['Simon Abkarian', ' Angela Sarafyan', ' Sam Page']",English,4.8,111682.0,10354970864.0,1679582816.0,45
506,517,776,1220,1920 London,2016,33,India,Horror,Rated,120,2016-05-06,Dharmendra Suresh Desai,"['Sharman Joshi', ' Meera Chopra', ' Vishal Karwal']",Hindi,4.1,0.0,11149116327.0,374243647.0,32
507,518,777,1222,1945,2017,2,Hungary,Drama,Rated,91,2017-11-01,Ferenc Török,"['Péter Rudolf', ' Bence Tasnádi', ' Tamás Szabó Kimmel']",Hungarian,7.7,37955.0,11216236720.0,1339173437.0,21
508,519,778,1225,"2 Autumns, 3 Winters",2013,1,France,Comedy,Rated,91,2014-06-06,Sébastien Betbeder,"['Vincent Macaigne', ' Maud Wyler', ' Bastien Bouillon']",French,6.6,5819.0,10893180888.0,1619719448.0,42
509,520,779,1226,2 Days in New York,2012,42,France,Comedy,Rated,96,2012-08-10,Julie Delpy,"['Chris Rock', ' Julie Delpy', ' Albert Delpy']",English,6.0,633210.0,10187347362.0,1490816438.0,46
510,521,780,1227,2 Days in Paris,2007,148,France,Comedy,Rated,96,2007-08-10,Julie Delpy,"['Adam Goldberg', ' Julie Delpy', ' Daniel Brühl']",English,6.8,4433994.0,9190502983.0,1955138318.0,26
511,522,782,1230,2 Guns,2013,3028,USA,Action,Rated,109,2013-08-02,Baltasar Kormákur,"['Denzel Washington', ' Mark Wahlberg', ' Paula Patton']",English,6.7,75612460.0,11041914748.0,2219810902.0,44
512,523,783,1231,2 Jacks,2012,0,USA,Comedy,Rated,90,2013-10-18,Bernard Rose,"['Sienna Miller', ' Billy Zane', ' Danny Huston']",English,4.8,0.0,11041914748.0,1050654625.0,34
513,524,784,1232,2 States,2014,137,India,Comedy,Unrated,149,2014-04-18,Abhishek Varman,"['Arjun Kapoor', ' Alia Bhatt', ' Amrita Singh']",Hindi,6.9,2238174.0,10893180888.0,1619719448.0,33
514,525,786,1235,20 Feet from Stardom,2013,147,USA,Documentary,Rated,91,2013-06-14,Morgan Neville,"['Lou Adler', "" Stephanie 'Stevvi' Alexander"", ' Patti Austin']",English,7.4,4946445.0,11041914748.0,131885122.0,41
515,526,787,1237,"20,000 Days on Earth",2014,28,UK,Documentary,Rated,97,2014-09-17,Iain Forsyth,"['Nick Cave', ' Susie Bick', ' Darian Leader']",English,7.5,279558.0,10893180888.0,49307450.0,46
516,527,789,1241,The 2006 Academy Award Nominated Short Films: Live Action,2007,38,USA,,Rated,129,2007-02-16,Borja Cobeaga,"['Ramón Barea', ' Mariví Bilbao', ' Robb Buckland']",English,8.1,335090.0,9190502983.0,,10
517,528,790,1242,The 2007 Academy Award Nominated Short Films: Live Action,2008,0,USA,,Rated,134,2008-02-15,Christian E. Christiansen,"['Charlotte Asprey', ' Teis Bayer', ' Rasmus Botoft']",English,7.1,508695.0,9767268194.0,,31
518,529,791,1244,2012,2009,3444,USA,Action,Rated,158,2009-11-13,Roland Emmerich,"['John Cusack', ' Amanda Peet', ' Chiwetel Ejiofor']",English,5.8,166112167.0,9750709587.0,1961967999.0,29
519,530,792,1245,2012: Time for Change,2010,2,USA,Documentary,Unrated,85,2010-04-09,Joao G. Amorim,"['Daniel Pinchbeck', ' Maude Barlow', ' Ariane Burgess']",English,7.0,68339.0,10639535233.0,187290939.0,30
520,531,793,1246,2016: Obama's America,2012,2017,USA,Documentary,Rated,87,2012-07-13,Dinesh D'Souza,"['Jay Bastian', ' Joe Biden', ' Cait Brasel']",English,5.1,33449086.0,10187347362.0,82817592.0,23
521,532,795,1248,20th Century Women,2016,650,USA,Comedy,Rated,119,2016-12-28,Mike Mills,"['Annette Bening', ' Elle Fanning', ' Greta Gerwig']",English,7.4,5664764.0,11149116327.0,1321791183.0,26
522,533,796,1249,21,2008,2952,USA,Crime,Rated,123,2008-03-28,Robert Luketic,"['Jim Sturgess', ' Kevin Spacey', ' Kate Bosworth']",English,6.8,81159365.0,9767268194.0,,32
523,534,798,1251,21 Jump Street,2012,3148,USA,Action,Rated,110,2012-03-16,Phil Lord,"['Jonah Hill', ' Channing Tatum', ' Brie Larson']",English,7.2,138447667.0,10187347362.0,2117507233.0,49
524,536,800,1253,22 Jump Street,2014,3426,USA,Action,Rated,112,2014-06-13,Phil Lord,"['Jonah Hill', ' Channing Tatum', ' Peter Stormare']",English,7.1,191719337.0,10893180888.0,2225063194.0,42
525,537,801,1254,23 Blast,2014,617,USA,Drama,Rated,98,2014-10-24,Dylan Baker,"['Stephen Lang', ' Alexa PenaVega', ' Mark Hapka']",English,6.4,549185.0,10893180888.0,1338281892.0,56
526,538,802,1255,2307: Winter's Dream,2016,0,USA,Sci-Fi,Rated,101,2017-10-06,Joey Curtis,"['Paul Sidhu', ' Branden Coles', ' Arielle Holmes']",English,4.4,0.0,11216236720.0,,47
527,539,803,1256,24 City,2008,2,China,Drama,Rated,112,2009-06-05,Zhangke Jia,"['Jianbin Chen', ' Joan Chen', ' Liping Lü']",Mandarin,7.2,30800.0,9750709587.0,1089198448.0,24
528,540,807,1261,27 Dresses,2008,3074,USA,Comedy,Rated,111,2008-01-18,Anne Fletcher,"['Brian Kerwin', ' Charli Barcena', ' Peyton List']",English,6.1,76808654.0,9767268194.0,1427703732.0,16
529,541,810,1264,28 Hotel Rooms,2012,5,USA,Drama,Unrated,82,2012-11-09,Matt Ross,"['Chris Messina', ' Marin Ireland', ' Robert Deamer']",English,5.8,18869.0,10187347362.0,1490190858.0,38
530,542,811,1265,28 Weeks Later,2007,2305,UK,Drama,Rated,100,2007-05-11,Juan Carlos Fresnadillo,"['Robert Carlyle', ' Rose Byrne', ' Jeremy Renner']",English,7.0,28638916.0,9190502983.0,1566075796.0,13
531,543,812,1267,2:22,2017,3,USA,Action,Rated,98,2017-06-30,Paul Currie,"['Teresa Palmer', ' Michiel Huisman', ' Sam Reid']",English,5.7,422.0,11216236720.0,2297451379.0,46
532,544,813,1269,3 Backyards,2010,3,USA,Drama,Rated,88,2011-03-11,Eric Mendelsohn,"['Elias Koteas', ' Kathryn Erbe', ' Edie Falco']",English,5.1,43073.0,10589599184.0,1687447132.0,30
533,545,814,1270,3 Days to Kill,2014,2872,USA,Action,Rated,117,2014-02-21,McG,"['Kevin Costner', ' Amber Heard', ' Hailee Steinfeld']",English,6.2,30697999.0,10893180888.0,2225063194.0,29
534,546,815,1271,3 Geezers!,2013,15,USA,Comedy,Unrated,81,2013-05-22,Michelle Schumacher,"['J.K. Simmons', ' Tim Allen', ' Scott Caan']",English,3.4,4175.0,11041914748.0,1050654625.0,44
535,547,816,1272,3 Generations,2015,37,USA,Drama,Rated,92,2017-05-05,Gaby Dellal,"['Elle Fanning', ' Linda Emond', ' Susan Sarandon']",English,5.6,68852.0,11216236720.0,1339173437.0,33
536,548,817,1274,3 Hearts,2014,29,France,Drama,Rated,108,2015-03-13,Benoît Jacquot,"['Benoît Poelvoorde', ' Charlotte Gainsbourg', ' Chiara Mastroianni']",French,5.9,164992.0,10354970864.0,1679582816.0,33
537,549,818,1275,3 Idiotas,2017,349,Mexico,Comedy,Rated,106,2017-06-02,Carlos Bolado,"['Martha Higareda', ' Alfonso Dosal', ' Christian Vazquez']",Spanish,4.1,1249233.0,11216236720.0,1302997778.0,46
538,550,819,1276,3 Idiots,2009,156,India,Comedy,Rated,170,2009-12-23,Rajkumar Hirani,"['Aamir Khan', ' Madhavan', ' Sharman Joshi']",Hindi,8.4,6532874.0,9750709587.0,2099450726.0,23
539,551,821,1278,3 Nights in the Desert,2014,2,USA,Drama,Rated,90,2015-02-06,Gabriel Cowan,"['Wes Bentley', ' Vincent Piazza', ' Amber Tamblyn']",English,6.0,1297.0,10354970864.0,1679582816.0,31
540,552,823,1284,3 Weeks in Yerevan,2016,4,USA,Comedy,Rated,0,2016-09-16,Vahe Berberian,"['Vahik Pirhamzei', ' Hrant Tokhatyan', ' Vahe Berberian']",Armenian,,45536.0,11149116327.0,1321791183.0,54
541,553,824,1285,"3, 2, 1... Frankie Go Boom",2012,12,USA,Comedy,Unrated,89,2012-10-12,Jordan Roberts,"['Charlie Hunnam', ' Nora Dunn', ' Sam Anderson']",English,6.0,0.0,10187347362.0,1490816438.0,44
542,554,826,1287,30 Beats,2012,15,France,Comedy,Rated,88,2012-07-20,Alexis Lloyd,"['Condola Rashad', ' Justin Kirk', ' Jennifer Tilly']",English,4.1,14693.0,10187347362.0,1490816438.0,23
543,555,827,1288,30 Days of Night,2007,2859,USA,Horror,Rated,113,2007-10-19,David Slade,"['Josh Hartnett', ' Melissa George', ' Danny Huston']",English,6.6,39568996.0,9190502983.0,553237666.0,31
